robot_model,movement,cartesian_path,reference_frame,is_relative,velocity,acceleration,desired_x,desired_y,desired_z,desired_roll,desired_pitch,desired_yaw,measured_x,measured_y,measured_z,measured_roll,measured_pitch,measured_yaw
vs060,move_to_pose,True,WORLD,False,100,100,0.2618,-0.1192,0.31,3.141592653589793,0,-1.5707963267948966,0.261734136717811,-0.11929249073410456,0.30997834173651695,3.141453808143518,0.0002370771465743085,-1.5707260698844223
vs060,move_to_pose,True,WORLD,True,100,100,0.26173412134320545,-0.1192924633998509,0.009978250676629885,3.1414538712541096,0.00023712293907029783,-1.5707260698350693,0.2617470848247583,-0.11929691667874348,0.010052436372405382,3.141117053165087,0.0003781327411940596,-1.5707274182033717
vs060,move_to_pose,True,WORLD,True,100,100,0.26174708482475706,-0.11929691667874281,0.3100524363724052,3.1411170531650856,0.0003781327411950401,-1.5707274182033706,0.26159869468632674,-0.11922930467082399,0.3098997902153044,-3.1414977627741907,0.00011801611247040218,-1.5707273079567383
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.305,3.141592653589793,0,-1.5707963267948966,0.2581042055172257,0.13579940127419357,0.30492211058226315,3.141424586975808,0.0002059205335172728,-1.570644187220127
vs060,move_to_pose,True,WORLD,True,100,100,0.2581042300117329,0.13579940923732237,0.004922187570289782,3.141424521067934,0.00020586780751181229,-1.5706441872452923,0.258118176185923,0.1358090700007146,0.004930543253924752,3.141331417151685,0.0001366569428842786,-1.5706478196537232
vs060,move_to_pose,True,WORLD,True,100,100,0.25811817618592203,0.13580907000071407,0.3049305432539251,3.1413314171516835,0.0001366569428833503,-1.5706478196537212,0.25802927749301907,0.13576230308719894,0.30484403799193543,3.1413079072947774,0.00012435909630214006,-1.5706478199767986
vs060,move_approach,True,WORLD,False,100,100,0.4661354874337654,0.06049128250125703,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.4659764501136154,0.06061140196006967,0.12680856107703423,-3.0673100712636034,1.249530956621075,-2.03098125710915
vs060,move_to_pose,True,TOOL,True,100,100,0.5219495364944234,0.15431637653082603,0.09059565179085295,-3.0673101415900086,1.249530962689587,-2.0309813410292725,0.5217906759919756,0.15430824801845844,0.09077997189925205,-3.066594897298263,1.249466948588393,-2.03052289022395
vs060,move_to_pose,True,TOOL,True,100,100,0.46579064602595105,0.06062133685404311,0.12699788919679722,-3.066594824683327,1.2494669444560964,-2.0305228044818704,0.46576873989243706,0.06064027167444282,0.12700132483614443,-3.066404047710358,1.2494654580378257,-2.03040541686414
vs060,move_approach,True,WORLD,False,100,100,0.4481354874337654,0.07099128250125704,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.44812605548043777,0.07097278160972006,0.12657419808081577,-3.070195647609693,1.2496355505749996,-2.0330645335149464
